,Name,Country,Market Cap (US$ Billion)
0,JPMorgan Chase,United States,368.78
1,Industrial and Commercial Bank of China,China,295.65
2,Bank of America,United States,279.73
3,Wells Fargo,United States,214.34
4,China Construction Bank,China,207.98
5,Agricultural Bank of China,China,181.49
6,HSBC Holdings PLC,United Kingdom,169.47
7,Citigroup Inc.,United States,163.58
8,Bank of China,China,151.15
9,China Merchants Bank,China,133.37
10,Royal Bank of Canada,Canada,113.8
11,Toronto-Dominion Bank,Canada,106.61
12,Commonwealth Bank,Australia,99.77
13,HDFC Bank,India,105.9
14,U.S. Bancorp,United States,84.4
15,Goldman Sachs,United States,78.7
16,Banco Santander,Spain,75.47
17,Banco Bradesco,Brazil,74.67
18,Morgan Stanley,United States,73.93
19,Westpac,Australia,67.84
20,Mitsubishi UFJ Financial Group,Japan,66.2
21,Scotiabank,Canada,65.48
22,PNC Financial Services,United States,63.11
23,Bank of Communications,China,61.85
24,BNP Paribas,France,59.36
25,Australia and New Zealand Banking Group,Australia,54.88
26,National Australia Bank,Australia,51.68
27,Lloyds Banking Group,United Kingdom,51.19
28,Sumitomo Mitsui Financial Group,Japan,49.85
29,Bank of Montreal,Canada,48.12
30,UBS,Switzerland,45.92
31,ING Group,Netherlands,44.97
32,Capital One,United States,43.22
33,The Bank of New York Mellon,United States,42.58
34,China Minsheng Bank,China,39.13
35,China CITIC Bank,China,38.55
36,Banco Bilbao Vizcaya Argentaria,Spain,37.42
37,Mizuho Financial Group,Japan,36.95
38,Intesa Sanpaolo,Italy,36.9
39,Crédit Agricole,France,34.89
40,Canadian Imperial Bank of Commerce,Canada,34.87
41,Royal Bank of Scotland,United Kingdom,33.95
42,Barclays,United Kingdom,33.26
43,Credit Suisse,Switzerland,30.75
44,Nordea,Finland,29.59
45,Standard Chartered,United Kingdom,29.37
46,KBC Bank,Belgium,27.4
47,UniCredit,Italy,26.88
48,Société Générale,France,21.27
49,Deutsche Bank,Germany,15.77
