,Name,Country,Market Cap (EUR€ Billion)
0,JPMorgan Chase,United States,303.32
1,Industrial and Commercial Bank of China,China,243.17
2,Bank of America,United States,230.08
3,Wells Fargo,United States,176.3
4,China Construction Bank,China,171.06
5,Agricultural Bank of China,China,149.28
6,HSBC Holdings PLC,United Kingdom,139.39
7,Citigroup Inc.,United States,134.55
8,Bank of China,China,124.32
9,China Merchants Bank,China,109.7
10,Royal Bank of Canada,Canada,93.6
11,Toronto-Dominion Bank,Canada,87.69
12,Commonwealth Bank,Australia,82.06
13,HDFC Bank,India,87.1
14,U.S. Bancorp,United States,69.42
15,Goldman Sachs,United States,64.73
16,Banco Santander,Spain,62.07
17,Banco Bradesco,Brazil,61.42
18,Morgan Stanley,United States,60.81
19,Westpac,Australia,55.8
20,Mitsubishi UFJ Financial Group,Japan,54.45
21,Scotiabank,Canada,53.86
22,PNC Financial Services,United States,51.91
23,Bank of Communications,China,50.87
24,BNP Paribas,France,48.82
25,Australia and New Zealand Banking Group,Australia,45.14
26,National Australia Bank,Australia,42.51
27,Lloyds Banking Group,United Kingdom,42.1
28,Sumitomo Mitsui Financial Group,Japan,41.0
29,Bank of Montreal,Canada,39.58
30,UBS,Switzerland,37.77
31,ING Group,Netherlands,36.99
32,Capital One,United States,35.55
33,The Bank of New York Mellon,United States,35.02
34,China Minsheng Bank,China,32.18
35,China CITIC Bank,China,31.71
36,Banco Bilbao Vizcaya Argentaria,Spain,30.78
37,Mizuho Financial Group,Japan,30.39
38,Intesa Sanpaolo,Italy,30.35
39,Crédit Agricole,France,28.7
40,Canadian Imperial Bank of Commerce,Canada,28.68
41,Royal Bank of Scotland,United Kingdom,27.92
42,Barclays,United Kingdom,27.36
43,Credit Suisse,Switzerland,25.29
44,Nordea,Finland,24.34
45,Standard Chartered,United Kingdom,24.16
46,KBC Bank,Belgium,22.54
47,UniCredit,Italy,22.11
48,Société Générale,France,17.49
49,Deutsche Bank,Germany,12.97
